Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
13,EU.27.28,P,person,,
13,EU.27.28,P,person,,
13,EU.27.28,P,person,,
13,EU.27.28,P,person,,
13,EU.27.28,P,person,IQ,
20,EU.39.56,P,person,,
20,EU.39.56,P,person,,
20,EU.39.56,P,person,,
20,EU.39.56,P,person,,
20,EU.39.56,P,person,IQ,
23,EU.16.62,P,person,,
23,EU.16.62,P,person,,
23,EU.16.62,P,person,,
23,EU.16.62,P,person,,
23,EU.16.62,P,person,IQ,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,,
25,EU.11.43,P,person,IQ,
29,EU.22.9,P,person,,
29,EU.22.9,P,person,,
29,EU.22.9,P,person,,
29,EU.22.9,P,person,,
29,EU.22.9,P,person,IQ,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,,
33,EU.42.11,P,person,IQ,
39,EU.35.2,P,person,,
39,EU.35.2,P,person,,
39,EU.35.2,P,person,,
39,EU.35.2,P,person,IQ,
46,EU.106.12,P,person,,
46,EU.106.12,P,person,,
46,EU.106.12,P,person,,
46,EU.106.12,P,person,,
46,EU.106.12,P,person,IQ,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,,
53,EU.19.54,P,person,IQ,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,,
54,EU.20.79,P,person,IQ,
58,EU.165.92,P,person,,
58,EU.165.92,P,person,,
58,EU.165.92,P,person,,
58,EU.165.92,P,person,,
58,EU.165.92,P,person,IQ,
60,EU.45.3,P,person,,
60,EU.45.3,P,person,,
60,EU.45.3,P,person,,
60,EU.45.3,P,person,,
60,EU.45.3,P,person,,
60,EU.45.3,P,person,IQ,
63,EU.52.12,P,person,,
63,EU.52.12,P,person,,
63,EU.52.12,P,person,,
63,EU.52.12,P,person,IQ,
65,EU.120.33,P,person,,
65,EU.120.33,P,person,,
65,EU.120.33,P,person,,
65,EU.120.33,P,person,,
65,EU.120.33,P,person,IQ,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,,
67,EU.146.66,P,person,IQ,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,,
69,EU.148.68,P,person,IQ,
71,EU.157.32,P,person,,
71,EU.157.32,P,person,,
71,EU.157.32,P,person,,
71,EU.157.32,P,person,IQ,
76,EU.133.1,P,person,,
76,EU.133.1,P,person,,
76,EU.133.1,P,person,,
76,EU.133.1,P,person,,
76,EU.133.1,P,person,IQ,
79,EU.69.59,P,person,,
79,EU.69.59,P,person,,
79,EU.69.59,P,person,,
79,EU.69.59,P,person,IQ,
81,EU.71.49,P,person,,
81,EU.71.49,P,person,,
81,EU.71.49,P,person,,
81,EU.71.49,P,person,,
81,EU.71.49,P,person,IQ,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,,
83,EU.77.33,P,person,IQ,
